RowNumber,Actual,Predicted
9701,0,0
9702,0,0
9703,0,0
9704,0,0
9705,0,0
9706,0,0
9707,0,0
9708,0,0
9709,0,0
9710,0,0
9711,0,0
9712,0,0
9713,0,0
9714,0,0
9715,0,0
9716,0,0
9717,1,1
9718,0,0
9719,1,1
9720,1,1
9721,0,0
9722,0,0
9723,0,0
9724,0,0
9725,0,0
9726,1,1
9727,0,0
9728,1,1
9729,1,1
9730,0,0
9731,0,0
9732,0,0
9733,0,0
9734,0,0
9735,0,0
9736,1,1
9737,0,0
9738,0,0
9739,1,1
9740,0,0
9741,0,0
9742,0,0
9743,0,0
9744,0,0
9745,1,1
9746,0,0
9747,0,0
9748,1,1
9749,1,1
9750,0,0
9751,1,1
9752,0,0
9753,0,0
9754,0,0
9755,0,0
9756,0,0
9757,1,1
9758,0,0
9759,0,0
9760,0,0
9761,0,0
9762,0,0
9763,0,0
9764,0,0
9765,0,0
9766,0,0
9767,0,0
9768,0,0
9769,1,1
9770,0,0
9771,1,1
9772,0,0
9773,0,0
9774,0,0
9775,0,0
9776,0,0
9777,0,0
9778,0,0
9779,0,0
9780,0,0
9781,0,0
9782,1,1
9783,0,0
9784,0,0
9785,1,1
9786,0,0
9787,0,0
9788,0,0
9789,0,0
9790,0,0
9791,0,0
9792,1,1
9793,0,0
9794,0,0
9795,0,0
9796,0,0
9797,0,0
9798,0,0
9799,0,0
9800,1,1
9801,1,1
9802,0,0
9803,0,0
9804,0,0
9805,0,0
9806,0,0
9807,0,0
9808,0,0
9809,0,0
9810,1,1
9811,0,0
9812,0,0
9813,0,0
9814,0,0
9815,0,0
9816,0,0
9817,0,0
9818,0,0
9819,0,0
9820,1,1
9821,0,0
9822,0,0
9823,0,0
9824,0,0
9825,0,0
9826,1,1
9827,0,0
9828,0,0
9829,0,0
9830,0,0
9831,0,0
9832,1,1
9833,1,1
9834,0,0
9835,1,1
9836,0,0
9837,0,0
9838,0,0
9839,1,1
9840,0,0
9841,0,0
9842,0,0
9843,0,0
9844,0,0
9845,0,0
9846,0,0
9847,0,0
9848,0,0
9849,0,0
9850,0,0
9851,0,0
9852,0,0
9853,1,1
9854,0,0
9855,0,0
9856,0,0
9857,1,1
9858,0,0
9859,1,1
9860,1,1
9861,0,0
9862,0,0
9863,0,0
9864,1,1
9865,0,0
9866,0,0
9867,0,0
9868,0,0
9869,0,0
9870,0,0
9871,0,0
9872,0,0
9873,0,0
9874,0,0
9875,0,0
9876,0,0
9877,0,0
9878,1,1
9879,0,0
9880,1,1
9881,0,0
9882,0,0
9883,1,1
9884,0,0
9885,1,1
9886,0,0
9887,0,0
9888,0,0
9889,0,0
9890,0,0
9891,0,0
9892,0,0
9893,0,0
9894,0,0
9895,0,0
9896,1,1
9897,0,0
9898,0,0
9899,1,1
9900,0,0
9901,0,0
9902,0,0
9903,0,0
9904,0,0
9905,0,0
9906,1,1
9907,0,0
9908,0,0
9909,0,0
9910,0,0
9911,1,1
9912,0,0
9913,0,0
9914,0,0
9915,0,0
9916,0,0
9917,0,0
9918,1,1
9919,0,0
9920,0,0
9921,1,1
9922,0,0
9923,0,0
9924,0,0
9925,1,1
9926,0,0
9927,0,0
9928,0,0
9929,0,0
9930,0,0
9931,0,0
9932,0,0
9933,0,0
9934,0,0
9935,1,1
9936,0,0
9937,0,0
9938,0,0
9939,0,0
9940,0,0
9941,0,0
9942,0,0
9943,0,0
9944,0,0
9945,0,0
9946,0,0
9947,0,0
9948,1,1
9949,0,0
9950,0,0
9951,0,0
9952,0,0
9953,0,0
9954,0,0
9955,0,0
9956,0,0
9957,1,1
9958,0,0
9959,0,0
9960,0,0
9961,1,1
9962,0,0
9963,1,1
9964,0,0
9965,0,0
9966,0,0
9967,0,0
9968,0,0
9969,0,0
9970,0,0
9971,0,0
9972,0,0
9973,0,0
9974,0,0
9975,0,0
9976,1,1
9977,0,0
9978,0,1
9979,1,0
9980,0,0
9981,0,0
9982,1,1
9983,1,1
9984,0,0
9985,0,1
9986,0,1
9987,0,0
9988,0,0
9989,0,0
9990,0,0
9991,0,0
9992,1,1
9993,0,0
9994,0,0
9995,0,0
9996,0,0
9997,0,0
9998,1,1
9999,1,1
10000,0,0
